Ano,Mês,Bairro,Utilização,Tipologia,Total,Valor Recolhido
2013,02,COLEGIO,RESIDENCIAL,CASA,3,10420
2013,02,COLEGIO,RESIDENCIAL,APARTAMENTO,4,10085.34
2013,02,ESTACIO,RESIDENCIAL,CASA,1,533.32
2013,02,ESTACIO,RESIDENCIAL,APARTAMENTO,4,15529.59
2013,02,HUMAITA,RESIDENCIAL,CASA,2,68000
2013,02,HUMAITA,RESIDENCIAL,APART-HOTEL,2,22000
2013,02,HUMAITA,RESIDENCIAL,APARTAMENTO,11,140847.9
2013,02,INHAUMA,RESIDENCIAL,CASA,1,8028.35
2013,02,INHAUMA,RESIDENCIAL,APARTAMENTO,5,12941.55
2013,02,INHAUMA,TERRITORIAL,TERRENO,1,1571.19
2013,02,INHAUMA,NAO RESIDENCIAL,LOJA,1,7228.56
2013,02,INHAUMA,NAO RESIDENCIAL,INDUSTRIA,2,83204.81
2013,02,IPANEMA,RESIDENCIAL,APART-HOTEL,1,49764.38
2013,02,IPANEMA,RESIDENCIAL,APARTAMENTO,39,1171968.4
2013,02,IPANEMA,NAO RESIDENCIAL,LOJA,3,2861.83
2013,02,IPANEMA,NAO RESIDENCIAL,SALA,6,64223.91
2013,02,IPANEMA,NAO RESIDENCIAL,APARTAMENTO,2,45009.08
2013,02,PAQUETA,RESIDENCIAL,CASA,1,1788.42
2013,02,PAQUETA,RESIDENCIAL,APARTAMENTO,4,9388.95
2013,02,PIEDADE,RESIDENCIAL,CASA,4,21929.58
2013,02,PIEDADE,RESIDENCIAL,APARTAMENTO,18,72216.61
2013,02,PIEDADE,TERRITORIAL,TERRENO,1,5200
2013,02,PILARES,RESIDENCIAL,CASA,1,1600
2013,02,PILARES,RESIDENCIAL,APARTAMENTO,2,6900
2013,02,RIBEIRA,RESIDENCIAL,APARTAMENTO,2,11774.22
2013,02,SAMPAIO,RESIDENCIAL,CASA,1,7146.22
2013,02,SAMPAIO,RESIDENCIAL,APARTAMENTO,3,6487.55
2013,02,TAQUARA,RESIDENCIAL,CASA,11,69851.84
2013,02,TAQUARA,RESIDENCIAL,APARTAMENTO,90,417600.93
2013,02,TAQUARA,RESIDENCIAL,CASA/APTO (PROLETARIO),1,1803.52
2013,02,TAQUARA,TERRITORIAL,TERRENO,4,17897.89
2013,02,TAQUARA,NAO RESIDENCIAL,LOJA,1,551.6
2013,02,TAQUARA,NAO RESIDENCIAL,SALA,6,13280
